,movie_title,opening_gross,screens
2231,Win a Date with Tad Hamilton! ,7320066,2711
2232,Windtalkers ,14520412,2898
2233,Wing Commander ,5114365,2019
2234,Winged Migration ,33128,1
2235,Winnie Mandela ,,
2236,Winnie the Pooh ,7857076,2405
2237,Winter's Tale ,8007059,2965
2238,Without a Paddle ,13528946,2730
2239,Without Limits ,56180,5
2240,Woman in Gold ,2091551,258
2241,Won't Back Down ,2603370,2515
2242,Wonder Boys ,87505,15
2243,Woo ,2517263,625
2244,World Trade Center ,18730762,
2245,World War Z ,66411834,3607
2246,Wrath of the Titans ,33457188,
2247,Wreck-It Ralph ,49038712,3752
2248,X-Men Origins: Wolverine ,85058003,4099
2249,X-Men: Apocalypse ,65000000,4150
2250,X-Men: Days of Future Past ,90823660,3996
2251,X-Men: First Class ,55101604,3641
2252,X-Men: The Last Stand ,122861157,
2253,X-Men ,54471475,3025
2254,Xi you ji zhi: Sun Wukong san da Baigu Jing ,,
2255,xXx: State of the Union ,12712272,3480
2256,xXx ,44506103,3374
2257,Year One ,19610304,3022
2258,Yes Man ,18262471,3434
2259,Yogi Bear ,16411322,3515
2260,You Again ,8407513,2548
2261,You Don't Mess with the Zohan ,38531374,3462
2262,You Will Meet a Tall Dark Stranger ,160103,6
2263,You've Got Mail ,18426749,2691
2264,"You, Me and Dupree ",21525560,3131
2265,Young Adult ,310263,8
2266,Your Highness ,9360020,2769
2267,Youth in Revolt ,6888334,1873
2268,Zack and Miri Make a Porno ,10065630,2735
2269,Zero Dark Thirty ,417150,5
2270,Zodiac ,13395610,
2271,Zombieland ,24733155,3036
2272,Zookeeper ,20065617,3482
2273,Zoolander 2 ,15650000,3394
2274,Zoom ,4510408,
2275,Æon Flux ,12661112,
